% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.022	1	2	3	3	1	0	81	0	0	0
0.023	1	1	3	4	2	0	81	0	0	0
0.024	1	3	3	5	3	0	81	0	0	0
0.025	1	2	3	6	1	0	81	0	0	0
0.026	1	4	3	7	4	28	2196	0	0	0
0.027	1	1	3	8	2	28	2196	0	0	0
0.028	1	3	3	9	3	28	2196	0	0	0
0.029	1	2	3	10	1	28	2196	0	0	0
0.03	1	4	4	1	4	28	2196	0	0	0
0.032	1	1	4	3	2	28	2196	0	0	0
0.033	1	3	4	4	3	28	2196	0	0	0
0.034	1	2	4	5	1	28	2196	0	0	0
0.035	1	2	4	6	1	28	2196	0	0	0
0.036	1	4	4	7	4	28	2196	0	0	0
0.04	1	4	5	1	4	28	2196	0	0	0
0.042	1	1	5	3	2	28	2196	0	0	0
0.043	1	3	5	4	3	28	2196	0	0	0
0.044	1	2	5	5	1	28	2196	0	0	0
0.045	1	2	5	6	1	28	2196	0	0	0
0.046	1	4	5	7	4	28	2196	0	0	0
0.05	1	4	6	1	4	28	2196	0	0	0
0.052	1	1	6	3	2	28	2196	0	0	0
0.053	1	3	6	4	3	28	2196	0	0	0
0.054	1	2	6	5	1	28	2196	0	0	0
0.055	1	2	6	6	1	28	2196	0	0	0
0.056	1	4	6	7	4	28	2196	0	0	0
0.06	1	4	7	1	4	28	2196	0	0	0
0.062	1	1	7	3	2	28	2196	0	0	0
0.063	1	3	7	4	3	28	2196	0	0	0
0.064	1	2	7	5	1	28	2196	0	0	0
0.065	1	2	7	6	1	28	2196	0	0	0
0.066	1	4	7	7	4	28	2196	0	0	0
0.07	1	4	8	1	4	28	2196	0	0	0
0.072	1	1	8	3	2	28	2196	0	0	0
0.073	1	3	8	4	3	28	2196	0	0	0
0.074	1	2	8	5	1	28	2196	0	0	0
0.075	1	2	8	6	1	28	2196	0	0	0
0.076	1	4	8	7	4	28	2196	0	0	0
0.08	1	4	9	1	4	28	2196	0	0	0
0.082	1	1	9	3	2	28	2196	0	0	0
0.083	1	3	9	4	3	28	2196	0	0	0
0.084	1	2	9	5	1	28	2196	0	0	0
0.085	1	2	9	6	1	28	2196	0	0	0
0.086	1	4	9	7	4	28	2196	0	0	0
0.09	1	4	10	1	4	28	2196	0	0	0
0.092	1	1	10	3	2	28	2196	0	0	0
0.093	1	3	10	4	3	28	2196	0	0	0
0.094	1	2	10	5	1	28	2196	0	0	0
0.095	1	2	10	6	1	28	2196	0	0	0
0.096	1	4	10	7	4	28	2196	0	0	0
0.1	1	4	11	1	4	28	2196	0	0	0
0.102	1	1	11	3	2	28	2196	0	0	0
0.103	1	3	11	4	3	28	2196	0	0	0
0.104	1	2	11	5	1	28	2196	0	0	0
0.105	1	2	11	6	1	28	2196	0	0	0
0.106	1	4	11	7	4	28	2196	0	0	0
0.11	1	4	12	1	4	28	2196	0	0	0
0.112	1	1	12	3	2	28	2196	0	0	0
0.113	1	3	12	4	3	28	2196	0	0	0
0.114	1	2	12	5	1	28	2196	0	0	0
0.115	1	2	12	6	1	28	2196	0	0	0
0.116	1	4	12	7	4	28	2196	0	0	0
0.12	1	4	13	1	4	28	2196	0	0	0
0.122	1	1	13	3	2	28	2196	0	0	0
0.123	1	3	13	4	3	28	2196	0	0	0
0.124	1	2	13	5	1	28	2196	0	0	0
0.125	1	2	13	6	1	28	2196	0	0	0
0.126	1	4	13	7	4	28	2196	0	0	0
0.13	1	4	14	1	4	28	2196	0	0	0
0.132	1	1	14	3	2	28	2196	0	0	0
0.133	1	3	14	4	3	28	2196	0	0	0
0.134	1	2	14	5	1	28	2196	0	0	0
0.135	1	2	14	6	1	28	2196	0	0	0
0.136	1	4	14	7	4	28	2196	0	0	0
0.14	1	4	15	1	4	28	2196	0	0	0
0.142	1	1	15	3	2	28	2196	0	0	0
0.143	1	3	15	4	3	28	2196	0	0	0
0.144	1	2	15	5	1	28	2196	0	0	0
0.145	1	2	15	6	1	28	2196	0	0	0
0.146	1	4	15	7	4	28	2196	0	0	0
0.15	1	4	16	1	4	28	2196	0	0	0
0.152	1	1	16	3	2	28	2196	0	0	0
0.153	1	3	16	4	3	28	2196	0	0	0
0.154	1	2	16	5	1	28	2196	0	0	0
0.155	1	2	16	6	1	28	2196	0	0	0
0.156	1	4	16	7	4	28	2196	0	0	0
0.16	1	4	17	1	4	28	2196	0	0	0
0.162	1	1	17	3	2	28	2196	0	0	0
0.163	1	3	17	4	3	28	2196	0	0	0
0.164	1	2	17	5	1	28	2196	0	0	0
0.165	1	2	17	6	1	28	2196	0	0	0
0.166	1	4	17	7	4	28	2196	0	0	0
0.17	1	4	18	1	4	28	2196	0	0	0
0.172	1	1	18	3	2	28	2196	0	0	0
0.173	1	3	18	4	3	28	2196	0	0	0
0.174	1	2	18	5	1	28	2196	0	0	0
0.175	1	2	18	6	1	28	2196	0	0	0
0.176	1	4	18	7	4	28	2196	0	0	0
0.18	1	4	19	1	4	28	2196	0	0	0
0.182	1	1	19	3	2	28	2196	0	0	0
0.183	1	3	19	4	3	28	2196	0	0	0
0.184	1	2	19	5	1	28	2196	0	0	0
0.185	1	2	19	6	1	28	2196	0	0	0
0.186	1	4	19	7	4	28	2196	0	0	0
0.19	1	4	20	1	4	28	2196	0	0	0
0.192	1	1	20	3	2	28	2196	0	0	0
0.193	1	3	20	4	3	28	2196	0	0	0
0.194	1	2	20	5	1	28	2196	0	0	0
0.195	1	2	20	6	1	28	2196	0	0	0
0.196	1	4	20	7	4	28	2196	0	0	0
0.2	1	4	21	1	4	28	2196	0	0	0
0.202	1	1	21	3	2	28	2196	0	0	0
0.203	1	3	21	4	3	28	2196	0	0	0
0.204	1	2	21	5	1	28	2196	0	0	0
0.205	1	2	21	6	1	28	2196	0	0	0
0.206	1	4	21	7	4	28	2196	0	0	0
0.21	1	4	22	1	4	28	2196	0	0	0
0.212	1	1	22	3	2	28	2196	0	0	0
0.213	1	3	22	4	3	28	2196	0	0	0
0.214	1	2	22	5	1	28	2196	0	0	0
0.215	1	2	22	6	1	28	2196	0	0	0
0.216	1	4	22	7	4	28	2196	0	0	0
0.22	1	4	23	1	4	28	2196	0	0	0
0.222	1	1	23	3	2	28	2196	0	0	0
0.223	1	3	23	4	3	28	2196	0	0	0
0.224	1	2	23	5	1	28	2196	0	0	0
0.225	1	2	23	6	1	28	2196	0	0	0
0.226	1	4	23	7	4	28	2196	0	0	0
0.23	1	4	24	1	4	28	2196	0	0	0
0.232	1	1	24	3	2	28	2196	0	0	0
0.233	1	3	24	4	3	28	2196	0	0	0
0.234	1	2	24	5	1	28	2196	0	0	0
0.235	1	2	24	6	1	28	2196	0	0	0
0.236	1	4	24	7	4	28	2196	0	0	0
0.24	1	4	25	1	4	28	2196	0	0	0
0.242	1	1	25	3	2	28	2196	0	0	0
0.243	1	3	25	4	3	28	2196	0	0	0
0.244	1	2	25	5	1	28	2196	0	0	0
0.245	1	2	25	6	1	28	2196	0	0	0
0.246	1	4	25	7	4	28	2196	0	0	0
0.25	1	4	26	1	4	28	2196	0	0	0
0.252	1	1	26	3	2	28	2196	0	0	0
0.253	1	3	26	4	3	28	2196	0	0	0
0.254	1	2	26	5	1	28	2196	0	0	0
0.255	1	2	26	6	1	28	2196	0	0	0
0.256	1	4	26	7	4	28	2196	0	0	0
0.26	1	4	27	1	4	28	2196	0	0	0
0.262	1	1	27	3	2	28	2196	0	0	0
0.263	1	3	27	4	3	28	2196	0	0	0
0.264	1	2	27	5	1	28	2196	0	0	0
0.265	1	2	27	6	1	28	2196	0	0	0
0.266	1	4	27	7	4	28	2196	0	0	0
0.27	1	4	28	1	4	28	2196	0	0	0
0.272	1	1	28	3	2	28	2196	0	0	0
0.273	1	3	28	4	3	28	2196	0	0	0
0.274	1	2	28	5	1	28	2196	0	0	0
0.275	1	2	28	6	1	28	2196	0	0	0
0.276	1	4	28	7	4	28	2196	0	0	0
0.28	1	4	29	1	4	28	2196	0	0	0
0.282	1	1	29	3	2	28	2196	0	0	0
0.283	1	3	29	4	3	28	2196	0	0	0
0.284	1	2	29	5	1	28	2196	0	0	0
0.285	1	2	29	6	1	28	2196	0	0	0
0.286	1	4	29	7	4	28	2196	0	0	0
0.29	1	4	30	1	4	28	2196	0	0	0
0.292	1	1	30	3	2	28	2196	0	0	0
0.293	1	3	30	4	3	28	2196	0	0	0
0.294	1	2	30	5	1	28	2196	0	0	0
0.295	1	2	30	6	1	28	2196	0	0	0
0.296	1	4	30	7	4	28	2196	0	0	0
0.3	1	4	31	1	4	28	2196	0	0	0
0.302	1	1	31	3	2	28	2196	0	0	0
0.303	1	3	31	4	3	28	2196	0	0	0
0.304	1	2	31	5	1	28	2196	0	0	0
0.305	1	2	31	6	1	28	2196	0	0	0
0.306	1	4	31	7	4	28	2196	0	0	0
0.31	1	4	32	1	4	28	2196	0	0	0
0.312	1	1	32	3	2	28	2196	0	0	0
0.313	1	3	32	4	3	28	2196	0	0	0
0.314	1	2	32	5	1	28	2196	0	0	0
0.315	1	2	32	6	1	28	2196	0	0	0
0.316	1	4	32	7	4	28	2196	0	0	0
0.32	1	4	33	1	4	28	2196	0	0	0
0.322	1	1	33	3	2	28	2196	0	0	0
0.323	1	3	33	4	3	28	2196	0	0	0
0.324	1	2	33	5	1	28	2196	0	0	0
0.325	1	2	33	6	1	28	2196	0	0	0
0.326	1	4	33	7	4	28	2196	0	0	0
0.33	1	4	34	1	4	28	2196	0	0	0
0.332	1	1	34	3	2	28	2196	0	0	0
0.333	1	3	34	4	3	28	2196	0	0	0
0.334	1	2	34	5	1	28	2196	0	0	0
0.335	1	2	34	6	1	28	2196	0	0	0
0.336	1	4	34	7	4	28	2196	0	0	0
0.34	1	4	35	1	4	28	2196	0	0	0
0.342	1	1	35	3	2	28	2196	0	0	0
0.343	1	3	35	4	3	28	2196	0	0	0
0.344	1	2	35	5	1	28	2196	0	0	0
0.345	1	2	35	6	1	28	2196	0	0	0
0.346	1	4	35	7	4	28	2196	0	0	0
0.35	1	4	36	1	4	28	2196	0	0	0
0.352	1	1	36	3	2	28	2196	0	0	0
0.353	1	3	36	4	3	28	2196	0	0	0
0.354	1	2	36	5	1	28	2196	0	0	0
0.355	1	2	36	6	1	28	2196	0	0	0
0.356	1	4	36	7	4	28	2196	0	0	0
0.36	1	4	37	1	4	28	2196	0	0	0
0.362	1	1	37	3	2	28	2196	0	0	0
0.363	1	3	37	4	3	28	2196	0	0	0
0.364	1	2	37	5	1	28	2196	0	0	0
0.365	1	2	37	6	1	28	2196	0	0	0
0.366	1	4	37	7	4	28	2196	0	0	0
0.37	1	4	38	1	4	28	2196	0	0	0
0.372	1	1	38	3	2	28	2196	0	0	0
0.373	1	3	38	4	3	28	2196	0	0	0
0.374	1	2	38	5	1	28	2196	0	0	0
0.375	1	2	38	6	1	28	2196	0	0	0
0.376	1	4	38	7	4	28	2196	0	0	0
0.38	1	4	39	1	4	28	2196	0	0	0
0.382	1	1	39	3	2	28	2196	0	0	0
0.383	1	3	39	4	3	28	2196	0	0	0
0.384	1	2	39	5	1	28	2196	0	0	0
0.385	1	2	39	6	1	28	2196	0	0	0
0.386	1	4	39	7	4	28	2196	0	0	0
0.39	1	4	40	1	4	28	2196	0	0	0
0.392	1	1	40	3	2	28	2196	0	0	0
0.393	1	3	40	4	3	28	2196	0	0	0
0.394	1	2	40	5	1	28	2196	0	0	0
0.395	1	2	40	6	1	28	2196	0	0	0
0.396	1	4	40	7	4	28	2196	0	0	0
0.4	1	4	41	1	4	28	2196	0	0	0
0.402	1	1	41	3	2	28	2196	0	0	0
0.403	1	3	41	4	3	28	2196	0	0	0
