% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct	ccId
24	1	2	1	0	0	0	81	0	1	1	0
25	1	1	2	0	0	0	81	0	1	1	0
26	1	3	3	0	0	0	81	0	1	1	0
27	1	2	1	0	0	0	81	0	1	1	0
28	1	4	4	0	0	28	2196	0	1	1	0
29	1	1	2	0	0	28	2196	0	1	1	0
30	1	3	3	0	0	28	2196	0	1	1	0
31	1	2	1	0	0	28	2196	0	1	1	0
32	1	4	4	0	0	28	2196	0	1	1	0
34	1	1	2	0	0	28	2196	0	1	1	0
35	1	3	3	0	0	28	2196	0	1	1	0
36	1	2	1	0	0	28	2196	0	1	1	0
37	1	2	1	0	0	28	2196	0	1	1	0
38	1	4	4	0	0	28	2196	0	1	1	0
42	1	4	4	0	0	28	2196	0	1	1	0
44	1	1	2	0	0	28	2196	0	1	1	0
45	1	3	3	0	0	28	2196	0	1	1	0
46	1	2	1	0	0	28	2196	0	1	1	0
47	1	2	1	0	0	28	2196	0	1	1	0
48	1	4	4	0	0	28	2196	0	1	1	0
52	1	4	4	0	0	28	2196	0	1	1	0
54	1	1	2	0	0	28	2196	0	1	1	0
55	1	3	3	0	0	28	2196	0	1	1	0
56	1	2	1	0	0	28	2196	0	1	1	0
57	1	2	1	0	0	28	2196	0	1	1	0
58	1	4	4	0	0	28	2196	0	1	1	0
62	1	4	4	0	0	28	2196	0	1	1	0
64	1	1	2	0	0	28	2196	0	1	1	0
65	1	3	3	0	0	28	2196	0	1	1	0
66	1	2	1	0	0	28	2196	0	1	1	0
67	1	2	1	0	0	28	2196	0	1	1	0
68	1	4	4	0	0	28	2196	0	1	1	0
72	1	4	4	0	0	28	2196	0	1	1	0
74	1	1	2	0	0	28	2196	0	1	1	0
75	1	3	3	0	0	28	2196	0	1	1	0
76	1	2	1	0	0	28	2196	0	1	1	0
77	1	2	1	0	0	28	2196	0	1	1	0
78	1	4	4	0	0	28	2196	0	1	1	0
82	1	4	4	0	0	28	2196	0	1	1	0
84	1	1	2	0	0	28	2196	0	1	1	0
85	1	3	3	0	0	28	2196	0	1	1	0
86	1	2	1	0	0	28	2196	0	1	1	0
87	1	2	1	0	0	28	2196	0	1	1	0
88	1	4	4	0	0	28	2196	0	1	1	0
92	1	4	4	0	0	28	2196	0	1	1	0
94	1	1	2	0	0	28	2196	0	1	1	0
95	1	3	3	0	0	28	2196	0	1	1	0
96	1	2	1	0	0	28	2196	0	1	1	0
97	1	2	1	0	0	28	2196	0	1	1	0
98	1	4	4	0	0	28	2196	0	1	1	0
102	1	4	4	0	0	28	2196	0	1	1	0
104	1	1	2	0	0	28	2196	0	1	1	0
105	1	3	3	0	0	28	2196	0	1	1	0
106	1	2	1	0	0	28	2196	0	1	1	0
107	1	2	1	0	0	28	2196	0	1	1	0
108	1	4	4	0	0	28	2196	0	1	1	0
112	1	4	4	0	0	28	2196	0	1	1	0
114	1	1	2	0	0	28	2196	0	1	1	0
115	1	3	3	0	0	28	2196	0	1	1	0
116	1	2	1	0	0	28	2196	0	1	1	0
