% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
33	1	2	1	0	0	41	0	1	1	0
33	1	1	2	0	0	41	0	1	1	0
34	1	2	1	0	0	26	0	1	1	0
34	1	1	2	0	0	26	0	1	1	0
34	1	3	3	0	0	26	0	1	1	0
35	1	2	1	0	0	26	0	1	1	0
35	1	1	2	0	0	26	0	1	1	0
35	1	3	3	0	0	26	0	1	1	0
36	1	2	1	0	0	26	0	1	1	0
36	1	1	2	0	0	26	0	1	1	0
36	1	3	3	0	0	26	0	1	1	0
37	1	2	1	0	0	19	0	1	1	0
37	1	1	2	0	0	19	0	1	1	0
37	1	3	3	0	0	19	0	1	1	0
37	1	4	4	0	0	19	0	1	1	0
38	1	2	1	0	0	19	0	1	1	0
38	1	1	2	0	0	19	0	1	1	0
38	1	3	3	0	0	19	0	1	1	0
38	1	4	4	0	0	19	0	1	1	0
39	1	2	1	0	0	19	0	1	1	0
39	1	1	2	0	0	19	0	1	1	0
39	1	3	3	0	0	19	0	1	1	0
39	1	4	4	0	0	19	0	1	1	0
40	1	2	1	0	28	549	0	1	1	0
40	1	1	2	0	28	549	0	1	1	0
40	1	3	3	0	0	19	0	1	1	0
40	1	4	4	0	0	19	0	1	1	0
41	1	2	1	0	28	549	0	1	1	0
41	1	1	2	0	28	549	0	1	1	0
41	1	3	3	0	28	549	0	1	1	0
41	1	4	4	0	0	19	0	1	1	0
42	1	2	1	0	28	549	0	1	1	0
42	1	1	2	0	28	549	0	1	1	0
42	1	3	3	0	28	549	0	1	1	0
42	1	4	4	0	0	19	0	1	1	0
43	1	2	1	0	28	549	0	1	1	0
43	1	1	2	0	28	549	0	1	1	0
43	1	3	3	0	28	549	0	1	1	0
43	1	4	4	0	0	19	0	1	1	0
44	1	2	1	0	28	549	0	1	1	0
44	1	1	2	0	28	549	0	1	1	0
44	1	3	3	0	28	549	0	1	1	0
44	1	4	4	0	28	549	0	1	1	0
45	1	2	1	0	28	549	0	1	1	0
45	1	1	2	0	28	549	0	1	1	0
45	1	3	3	0	28	549	0	1	1	0
45	1	4	4	0	28	549	0	1	1	0
46	1	2	1	0	28	549	0	1	1	0
46	1	1	2	0	28	549	0	1	1	0
46	1	3	3	0	28	549	0	1	1	0
46	1	4	4	0	28	549	0	1	1	0
47	1	2	1	0	28	549	0	1	1	0
47	1	1	2	0	28	549	0	1	1	0
47	1	3	3	0	28	549	0	1	1	0
47	1	4	4	0	28	549	0	1	1	0
48	1	2	1	0	28	549	0	1	1	0
48	1	1	2	0	28	549	0	1	1	0
48	1	3	3	0	28	549	0	1	1	0
48	1	4	4	0	28	549	0	1	1	0
49	1	2	1	0	28	549	0	1	1	0
49	1	1	2	0	28	549	0	1	1	0
49	1	3	3	0	28	549	0	1	1	0
49	1	4	4	0	28	549	0	1	1	0
