% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.041	1	2	1	1076.28	0
0.042	1	1	2	2159.79	0
0.043	1	3	3	1076.28	0
0.044	1	4	4	1076.28	0
0.081	1	2	1	1076.28	0
0.082	1	1	2	2166.73	0
0.083	1	3	3	1076.28	0
0.084	1	4	4	1076.28	0
0.121	1	2	1	1076.28	0
0.122	1	1	2	2173.71	0
0.123	1	3	3	1076.28	0
0.124	1	4	4	1076.28	0
0.161	1	2	1	1076.28	0
0.162	1	1	2	2180.71	0
0.163	1	3	3	1076.28	0
0.164	1	4	4	1076.28	0
0.201	1	2	1	1076.28	0
0.202	1	1	2	2187.76	0
0.203	1	3	3	1076.28	0
0.204	1	4	4	1076.28	0
0.241	1	2	1	1076.28	0
0.242	1	1	2	2194.83	0
0.243	1	3	3	1076.28	0
0.244	1	4	4	1076.28	0
0.281	1	2	1	1076.28	0
0.282	1	1	2	2201.94	0
0.283	1	3	3	1076.28	0
0.284	1	4	4	1076.28	0
0.321	1	2	1	1076.28	0
0.322	1	1	2	2209.08	0
0.323	1	3	3	1076.28	0
0.324	1	4	4	1076.28	0
0.361	1	2	1	1076.28	0
0.362	1	1	2	2216.26	0
0.363	1	3	3	1076.28	0
0.364	1	4	4	1076.28	0
0.401	1	2	1	1076.28	0
0.402	1	1	2	2223.48	0
0.403	1	3	3	1076.28	0
0.404	1	4	4	1076.28	0
